,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l2_leaf_reg,param_learning_rate,param_max_depth,param_random_strength,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.6916133562723795,0.27490504905895813,0.012655893961588541,0.001010637605492212,0.019348636510354515,2.6711344437355553,4,0.06315991869740975,"OrderedDict([('l2_leaf_reg', 0.019348636510354515), ('learning_rate', 2.6711344437355553), ('max_depth', 4), ('random_strength', 0.06315991869740975)])",0.10334346504559272,0.18268090154211147,0.10256410256410256,0.12952948971726894,0.03758507049082031,1,0.10377358490566038,0.18197932053175775,0.13793103448275862,0.14122797997339226,0.03201235863830213,13
1,7.667839527130127,0.07763149358605947,0.014664491017659506,0.0028668293996388905,0.029404467185229786,1.2974440442801733,3,0.1479008468380841,"OrderedDict([('l2_leaf_reg', 0.029404467185229786), ('learning_rate', 1.2974440442801733), ('max_depth', 3), ('random_strength', 0.1479008468380841)])",0.10526315789473685,0.10491803278688525,0.03875968992248062,0.08298029353470092,0.03126900612115081,13,0.5529225908372828,0.5324459234608986,0.429553264604811,0.5049739263009975,0.05398166747287899,1
2,0.5478513240814209,0.10524769418514605,0.01222840944925944,0.0001752695319896013,0.016323403714398183,2.2220897326535556,3,0.02536676367917013,"OrderedDict([('l2_leaf_reg', 0.016323403714398183), ('learning_rate', 2.2220897326535556), ('max_depth', 3), ('random_strength', 0.02536676367917013)])",0.019138755980861243,0.19226519337016576,0.12416851441241684,0.11185748792114796,0.07121264803731492,4,0.01932367149758454,0.19055509527754766,0.15417558886509636,0.12135145188007619,0.07365739654661012,15
3,0.4732024669647217,0.05143140513510587,0.0110017458597819,0.0005336846859438023,0.013319113420246772,2.143214468615391,2,0.133365779402875,"OrderedDict([('l2_leaf_reg', 0.013319113420246772), ('learning_rate', 2.143214468615391), ('max_depth', 2), ('random_strength', 0.133365779402875)])",0.0,0.09944751381215468,0.1820388349514563,0.09382878292120367,0.0744231682575598,7,0.03287671232876713,0.11404728789986092,0.17827806510495892,0.10840068844452899,0.059493985193705974,17
4,1.8864494959513347,2.309645582219625,0.012061198552449545,0.0017061137159208207,0.03848658195328336,3.821952468883263,3,0.1902447813186659,"OrderedDict([('l2_leaf_reg', 0.03848658195328336), ('learning_rate', 3.821952468883263), ('max_depth', 3), ('random_strength', 0.1902447813186659)])",0.0,0.13054830287206265,0.0,0.04351610095735422,0.06154106015548716,24,0.0,0.05121293800539084,0.0,0.01707097933513028,0.024142010498732082,27
5,7.542029062906901,0.07451365615746654,0.01356649398803711,0.0015329987224327727,0.04017903416272726,0.5771423522645597,2,0.07071747952568362,"OrderedDict([('l2_leaf_reg', 0.04017903416272726), ('learning_rate', 0.5771423522645597), ('max_depth', 2), ('random_strength', 0.07071747952568362)])",0.03686635944700461,0.02941176470588235,0.04854368932038835,0.0382739378244251,0.00787373661951433,25,0.06933333333333333,0.21411192214111924,0.18546365914786966,0.15630297154077408,0.06259909062482431,12
6,1.803505261739095,2.3257789787475542,0.011330922444661459,0.0012471076482224615,0.027819900546481084,4.492107642441556,3,0.19845879997246738,"OrderedDict([('l2_leaf_reg', 0.027819900546481084), ('learning_rate', 4.492107642441556), ('max_depth', 3), ('random_strength', 0.19845879997246738)])",0.0,0.0,0.031413612565445025,0.010471204188481674,0.014808518977728745,28,0.0,0.0,0.005291005291005291,0.001763668430335097,0.002494203813709162,29
7,9.461853822072348,0.08289159798070904,0.007343689600626628,0.0012350709010232439,0.034352926326888356,1.2231926263255872,3,0.028205553544728208,"OrderedDict([('l2_leaf_reg', 0.034352926326888356), ('learning_rate', 1.2231926263255872), ('max_depth', 3), ('random_strength', 0.028205553544728208)])",0.08783783783783784,0.12987012987012989,0.08441558441558443,0.10070785070785072,0.02066812117046536,5,0.39871382636655944,0.41,0.4263322884012539,0.4116820382559378,0.01133774818357666,5
8,2.237079381942749,2.5057136265297055,0.014162540435791016,0.004173530300108647,0.02046089294403956,4.146603653531869,2,0.08666656037404503,"OrderedDict([('l2_leaf_reg', 0.02046089294403956), ('learning_rate', 4.146603653531869), ('max_depth', 2), ('random_strength', 0.08666656037404503)])",0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,30
9,8.26470144589742,0.07896903045945594,0.011668046315511068,0.0017015762932370596,0.013532406573069457,1.4211350414621733,2,0.1503105062680993,"OrderedDict([('l2_leaf_reg', 0.013532406573069457), ('learning_rate', 1.4211350414621733), ('max_depth', 2), ('random_strength', 0.1503105062680993)])",0.09580838323353293,0.07220216606498195,0.10810810810810811,0.09203955246887434,0.014898819472261588,8,0.3537234042553191,0.36624203821656054,0.20359281437125748,0.3078527522810457,0.07389984230374946,11
10,3.862919012705485,2.547043508201784,0.01667054494222005,0.005900948277633715,0.02819011539037373,4.0824818185561025,2,0.04321713474110921,"OrderedDict([('l2_leaf_reg', 0.02819011539037373), ('learning_rate', 4.0824818185561025), ('max_depth', 2), ('random_strength', 0.04321713474110921)])",0.0,0.0,0.1045751633986928,0.03485838779956427,0.049297204788604616,26,0.0,0.0,0.10076335877862595,0.03358778625954199,0.04750030285833296,25
